Taxa;Family; Number of specimens;Inter-Tegular Distance (mm);Tongue lenght;Parasitism;Social Status;Nesting
Amegilla albigena;Apidae;14;3,02;Long;Non-parasitic;Solitary;Soil
Amegilla garrula;Apidae;2;4,28;Long;Non-parasitic;Solitary;Soil
Amegilla quadrifasciata;Apidae;8;3,8;Long;Non-parasitic;Solitary;Soil
Amegilla salviae;Apidae;5;5,91;Long;Non-parasitic;Solitary;Soil
Andrena aeneiventris;Andrenidae;1;0,86;Short;Non-parasitic;NA;Soil
Andrena agilissima;Andrenidae;4;2,94;Short;Non-parasitic;Solitary;Soil
Andrena alfkenella;Andrenidae;3;1,33;Short;Non-parasitic;Solitary;Soil
Andrena alutacea;Andrenidae;1;NA;Short;Non-parasitic;Solitary;Soil
Andrena angustior;Andrenidae;4;1,88;Short;Non-parasitic;Solitary;Soil
Andrena barbilabris;Andrenidae;2;2,34;Short;Non-parasitic;Solitary;Soil
Andrena bicolor;Andrenidae;179;2,1;Short;Non-parasitic;Solitary;Soil
Andrena bimaculata;Andrenidae;5;2,72;Short;Non-parasitic;Solitary;Soil
Andrena bucephala;Andrenidae;1;2,15;Short;Non-parasitic;Social;Soil
Andrena carantonica;Andrenidae;8;2,72;Short;Non-parasitic;Social;Soil
Andrena chrysosceles;Andrenidae;21;1,97;Short;Non-parasitic;Solitary;Soil
Andrena cineraria;Andrenidae;423;2,76;Short;Non-parasitic;Social;Soil
Andrena combinata;Andrenidae;2;2,14;Short;Non-parasitic;Social;Soil
Andrena curvungula;Andrenidae;28;2,38;Short;Non-parasitic;Social;Soil
Andrena decipiens;Andrenidae;1;1,61;Short;Non-parasitic;Social;Soil
Andrena distinguenda;Andrenidae;12;1,68;Short;Non-parasitic;Solitary;Soil
Andrena dorsata;Andrenidae;111;2,03;Short;Non-parasitic;Solitary;Soil
Andrena fabrella;Andrenidae;3;0,63;Short;Non-parasitic;NA;Soil
Andrena falsifica;Andrenidae;18;1,38;Short;Non-parasitic;Solitary;Soil
Andrena flavipes;Andrenidae;351;2,36;Short;Non-parasitic;Social;Soil
Andrena florea;Andrenidae;24;2,43;Short;Non-parasitic;Social;Soil
Andrena floricola;Andrenidae;3;1,5;Short;Non-parasitic;Solitary;Soil
Andrena fulva;Andrenidae;40;2,78;Short;Non-parasitic;Social;Soil
Andrena fulvago;Andrenidae;38;2,06;Short;Non-parasitic;Social;Soil
Andrena fulvata;Andrenidae;27;1,97;Short;Non-parasitic;Solitary;Soil
Andrena granulosa;Andrenidae;1;2,11;Short;Non-parasitic;Solitary;Soil
Andrena gravida;Andrenidae;63;2,59;Short;Non-parasitic;Social;Soil
Andrena haemorrhoa;Andrenidae;108;2,63;Short;Non-parasitic;Social;Soil
Andrena hattorfiana;Andrenidae;2;2,71;Short;Non-parasitic;Solitary;Soil
Andrena helvola;Andrenidae;1;2,09;Short;Non-parasitic;Solitary;Soil
Andrena humilis;Andrenidae;6;2,23;Short;Non-parasitic;Social;Soil
Andrena labialis;Andrenidae;2;2,7;Short;Non-parasitic;Social;Soil
Andrena labiata;Andrenidae;10;1,78;Short;Non-parasitic;Social;Soil
Andrena lagopus;Andrenidae;78;2,34;Short;Non-parasitic;Solitary;Soil
Andrena lathyri;Andrenidae;5;2,68;Short;Non-parasitic;Solitary;Soil
Andrena marginata;Andrenidae;1;1,95;Short;Non-parasitic;Social;Soil
Andrena minutula;Andrenidae;154;1,43;Short;Non-parasitic;Solitary;Soil
Andrena minutuloides;Andrenidae;85;1,39;Short;Non-parasitic;Solitary;Soil
Andrena mitis;Andrenidae;2;2,31;Short;Non-parasitic;Solitary;Soil
Andrena nana;Andrenidae;1;1,58;Short;Non-parasitic;Solitary;Soil
Andrena nigroaenea;Andrenidae;23;2,84;Short;Non-parasitic;Solitary;Soil
Andrena nitida;Andrenidae;20;2,97;Short;Non-parasitic;Solitary;Soil
Andrena nitidiuscula;Andrenidae;5;1,58;Short;Non-parasitic;Solitary;Soil
Andrena nitidula;Andrenidae;1;NA;Short;Non-parasitic;NA;Soil
Andrena niveata;Andrenidae;1;1,51;Short;Non-parasitic;Solitary;Soil
Andrena nycthemera;Andrenidae;3;2,9;Short;Non-parasitic;Social;Soil
Andrena ovatula;Andrenidae;65;2,24;Short;Non-parasitic;Social;Soil
Andrena pandellei;Andrenidae;8;2,17;Short;Non-parasitic;Social;Soil
Andrena paucisquama;Andrenidae;1;2,13;Short;Non-parasitic;NA;Soil
Andrena propinqua;Andrenidae;41;2,04;Short;Non-parasitic;Solitary;Soil
Andrena pusilla;Andrenidae;68;1,39;Short;Non-parasitic;NA;Soil
Andrena ranunculi;Andrenidae;3;1,75;Short;Non-parasitic;NA;Soil
Andrena rhenana;Andrenidae;35;2,17;Short;Non-parasitic;Solitary;Soil
Andrena rufula;Andrenidae;1;1,13;Short;Non-parasitic;NA;Soil
Andrena saxonica;Andrenidae;2;0,63;Short;Non-parasitic;NA;Soil
